navigationalstatus,sog,cog,heading,shiptype,width,length,draught
Constrained by her draught,11.4,296.5,295.0,Cargo,32.0,200.0,13.0
Under way using engine,9.6,318.1,316.0,Tug,12.0,34.0,4.9
Under way using engine,12.5,164.0,168.0,Cargo,28.0,177.0,9.8
Under way using engine,10.8,258.4,258.0,Cargo,12.0,81.0,4.8
Under way using engine,13.4,170.0,173.0,Cargo,30.0,180.0,6.3
Under way using engine,10.7,290.5,291.0,Cargo,32.0,187.0,13.0
Under way using engine,11.0,148.0,150.0,Tanker,32.0,183.0,8.1
Under way using engine,10.9,146.7,143.0,Cargo,12.0,76.0,3.0
Under way using engine,12.1,35.9,36.0,Cargo,32.0,193.0,12.7
Under way using engine,11.7,22.6,21.0,Tanker,24.0,150.0,10.1
Under way using engine,10.9,10.2,12.0,Cargo,14.0,90.0,5.6
Under way using engine,15.0,57.5,58.0,Cargo,18.0,101.0,5.2
Under way using engine,11.5,70.0,71.0,Cargo,17.0,140.0,3.4
Under way using engine,12.1,47.8,52.0,Cargo,28.0,190.0,10.5
Under way using engine,11.3,167.7,167.0,Tanker,26.0,167.0,6.4
Moored,9.4,269.9,269.0,Cargo,16.0,102.0,3.5
Under way using engine,14.6,200.9,199.0,Pilot,5.0,15.0,1.3
Under way using engine,8.3,238.5,237.0,Fishing,4.0,18.0,3.0
Under way using engine,11.5,226.0,226.0,Cargo,26.0,176.0,10.5
Under way using engine,10.2,161.1,165.0,Tanker,27.0,184.0,7.0
Under way using engine,12.1,47.8,51.0,Cargo,28.0,190.0,10.5
Under way using engine,11.3,168.7,167.0,Tanker,26.0,167.0,6.4
Under way using engine,12.8,230.6,230.0,Tanker,32.0,183.0,7.6
Under way using engine,12.7,211.9,213.0,Cargo,32.0,229.0,9.5
Under way using engine,14.0,22.4,21.0,Cargo,29.0,190.0,6.6
Under way using engine,13.8,160.0,162.0,Tanker,23.0,144.0,6.5
Under way using engine,6.7,327.2,318.0,Military,6.0,22.0,2.5
Under way using engine,10.6,260.3,262.0,Cargo,12.0,81.0,4.8
Under way using engine,10.9,146.3,143.0,Cargo,12.0,76.0,3.0
Under way using engine,9.8,292.6,293.0,Cargo,16.0,145.0,8.5
Under way using engine,9.4,203.6,205.0,Cargo,13.0,90.0,4.7
Under way using engine,4.5,134.3,130.0,Cargo,12.0,76.0,3.6
Under way using engine,15.7,136.3,137.0,Tanker,22.0,155.0,6.4
Constrained by her draught,11.0,155.7,155.0,Cargo,32.0,229.0,12.5
Under way using engine,7.9,259.1,265.0,Cargo,10.0,78.0,4.4
Under way using engine,9.5,289.2,291.0,Cargo,13.0,90.0,4.1
Under way using engine,14.9,6.6,7.0,Cargo,22.0,140.0,6.1
Under way using engine,14.2,198.3,199.0,Pilot,5.0,15.0,1.3
Under way using engine,11.2,221.0,221.0,Cargo,31.0,191.0,8.2
Under way using engine,9.5,188.7,188.0,Cargo,13.0,88.0,5.5
Under way using engine,13.1,128.3,132.0,Cargo,32.0,225.0,7.2
Under way using engine,12.9,230.7,230.0,Tanker,32.0,183.0,7.6
Under way using engine,9.3,167.8,169.0,Cargo,13.0,83.0,5.9
Under way using engine,16.2,202.9,203.0,Cargo,36.0,200.0,8.8
Under way using engine,12.2,165.0,169.0,Cargo,28.0,177.0,9.8
Under way using engine,13.8,22.9,20.0,Cargo,29.0,190.0,6.6
Under way using engine,12.9,323.0,325.0,Tug,9.0,33.0,4.9
Engaged in fishing,7.7,351.0,355.0,Fishing,6.0,17.0,3.0
Under way using engine,13.7,167.3,168.0,Cargo,22.0,135.0,7.2
Under way using engine,15.3,352.7,354.0,Cargo,20.0,139.0,6.3
Under way using engine,15.0,6.9,8.0,Cargo,22.0,140.0,6.1
Under way using engine,10.3,158.1,161.0,Law enforcement,12.0,49.0,4.0
Under way using engine,8.7,347.9,347.0,Cargo,26.0,106.0,4.0
Under way using engine,11.4,342.9,341.0,Tanker,16.0,104.0,6.2
Under way using engine,15.2,169.1,172.0,Cargo,36.0,200.0,9.2
Under way using engine,12.0,38.8,40.0,Cargo,32.0,193.0,12.7
Under way using engine,4.1,316.9,318.0,Cargo,15.0,105.0,6.7
Under way using engine,15.0,131.0,133.0,Cargo,26.0,190.0,6.5
Under way using engine,16.1,138.5,137.0,Tanker,22.0,155.0,6.4
Under way using engine,8.8,229.1,233.0,Military,6.0,23.0,2.5
Under way sailing,7.5,102.4,104.0,Fishing,15.0,49.0,7.0
Under way using engine,10.2,160.2,168.0,Tanker,27.0,184.0,7.0
Constrained by her draught,11.7,294.3,296.0,Cargo,32.0,200.0,13.0
Under way using engine,9.5,173.7,174.0,Tanker,15.0,116.0,5.1
Under way using engine,8.9,0.0,1.0,Cargo,16.0,99.0,4.6
Under way using engine,9.2,168.9,169.0,Cargo,13.0,83.0,5.9
Under way using engine,8.1,204.3,205.0,Cargo,17.0,119.0,5.1
Under way using engine,11.9,28.0,30.0,Tanker,24.0,150.0,10.1
Under way using engine,10.5,317.0,316.0,Cargo,14.0,90.0,6.3
Under way using engine,8.0,316.6,314.0,Cargo,26.0,106.0,4.0
Under way using engine,10.7,344.0,341.0,Cargo,12.0,74.0,3.3
Under way using engine,10.5,261.1,263.0,Cargo,12.0,81.0,4.8
Under way using engine,9.0,343.8,340.0,Tanker,14.0,90.0,6.3
Under way using engine,8.6,188.0,189.0,Cargo,13.0,88.0,5.1
Under way using engine,9.3,10.0,14.0,Tanker,28.0,184.0,7.5
Under way using engine,11.5,346.4,345.0,Cargo,14.0,100.0,5.9
Under way using engine,8.5,196.4,197.0,Cargo,13.0,88.0,5.1
Under way using engine,11.5,10.9,11.0,Cargo,14.0,90.0,5.6
Under way using engine,8.7,339.4,336.0,Tanker,22.0,147.0,9.1
Under way using engine,10.8,342.5,340.0,Tanker,16.0,104.0,6.2
Under way using engine,12.1,337.3,335.0,Cargo,29.0,190.0,10.4
Under way using engine,11.5,158.4,160.0,Cargo,27.0,161.0,9.4
Under way using engine,10.5,95.2,97.0,Cargo,17.0,140.0,3.4
Under way using engine,16.3,187.3,169.0,Cargo,12.0,80.0,4.8
Under way using engine,10.2,186.1,189.0,Cargo,22.0,143.0,6.4
Under way using engine,4.2,128.6,131.0,Cargo,12.0,76.0,3.6
Constrained by her draught,11.8,295.6,292.0,Cargo,32.0,200.0,13.0
Under way using engine,13.8,164.3,165.0,Tanker,23.0,144.0,6.5
Under way using engine,13.2,333.0,336.0,Tug,9.0,33.0,4.9
Under way using engine,11.5,158.4,159.0,Cargo,27.0,161.0,9.4
Under way using engine,12.9,213.9,215.0,Cargo,32.0,229.0,9.5
Constrained by her draught,11.0,156.7,157.0,Cargo,32.0,229.0,12.5
Under way using engine,15.6,210.9,212.0,Cargo,36.0,200.0,8.8
Constrained by her draught,12.1,341.8,342.0,Cargo,32.0,200.0,13.2
Under way using engine,14.0,166.0,167.0,Cargo,22.0,135.0,7.2
Constrained by her draught,12.2,341.8,342.0,Cargo,32.0,200.0,13.2
Under way using engine,11.0,328.2,328.0,Tanker,44.0,250.0,14.3
Under way using engine,13.4,170.0,173.0,Cargo,30.0,180.0,6.3
Under way using engine,7.7,134.3,133.0,Cargo,32.0,225.0,7.1
Under way using engine,10.4,146.8,148.0,Cargo,13.0,88.0,5.5
Under way using engine,7.7,134.0,133.0,Cargo,32.0,225.0,7.1
Under way using engine,10.5,165.0,165.0,Tanker,32.0,183.0,8.1
Under way using engine,9.4,237.7,240.0,Cargo,16.0,102.0,3.5
Under way using engine,15.0,133.2,134.0,Cargo,26.0,190.0,6.5
Under way using engine,10.0,290.4,290.0,Cargo,13.0,90.0,4.1
Under way using engine,12.7,134.9,139.0,Cargo,32.0,225.0,7.2
Under way using engine,12.7,135.1,139.0,Cargo,32.0,225.0,7.2
Under way using engine,8.8,127.1,125.0,Tanker,32.0,183.0,7.2
Under way using engine,12.4,229.3,230.0,Tanker,32.0,183.0,7.6
Under way using engine,14.2,19.0,19.0,Tanker,28.0,184.0,7.5
Under way using engine,11.2,218.0,218.0,Cargo,26.0,176.0,10.5
Under way using engine,13.4,172.0,173.0,Cargo,30.0,180.0,6.3
Under way using engine,12.1,343.5,342.0,Cargo,29.0,190.0,10.4
Under way using engine,13.2,219.4,220.0,Cargo,32.0,229.0,9.5
Under way using engine,9.2,343.1,341.0,Tug,12.0,34.0,4.9
Under way sailing,11.1,173.1,173.0,Fishing,15.0,49.0,7.0
Under way using engine,9.2,7.0,4.0,Cargo,13.0,88.0,4.5
Under way using engine,14.9,144.0,146.0,Cargo,26.0,190.0,6.5
Under way using engine,10.4,121.0,123.0,Cargo,13.0,88.0,5.5
Under way using engine,15.9,162.1,163.0,Tanker,22.0,155.0,6.4
Under way using engine,11.1,218.0,217.0,Cargo,26.0,176.0,10.5
Under way using engine,12.4,227.0,228.0,Cargo,31.0,191.0,8.2
Under way using engine,8.9,5.3,2.0,Cargo,12.0,73.0,4.8
Constrained by her draught,11.6,291.2,294.0,Cargo,32.0,200.0,13.0
Under way using engine,10.2,202.4,202.0,Cargo,18.0,107.0,5.5
Under way using engine,10.2,201.9,202.0,Cargo,18.0,107.0,5.5
Under way using engine,10.5,159.0,163.0,Tanker,32.0,183.0,8.1
Under way using engine,10.3,335.5,338.0,Cargo,14.0,90.0,5.6
Under way using engine,11.3,30.1,29.0,Cargo,28.0,190.0,10.5
Under way using engine,8.8,341.8,340.0,Tanker,22.0,147.0,9.1
Under way using engine,9.2,340.8,340.0,Tanker,14.0,90.0,6.3
Under way using engine,14.2,44.6,44.0,Cargo,29.0,190.0,6.6
Under way using engine,15.7,40.0,40.0,Cargo,20.0,139.0,6.3
Under way using engine,9.4,222.9,222.0,Cargo,13.0,90.0,4.7
Under way using engine,12.4,226.0,226.0,Cargo,31.0,191.0,8.2
Under way using engine,14.9,175.3,182.0,Cargo,36.0,200.0,9.2
Under way using engine,19.2,75.5,74.0,Pilot,5.0,15.0,1.3
Under way using engine,11.9,143.3,142.0,Tanker,26.0,167.0,6.4
Under way using engine,14.2,47.1,47.0,Cargo,29.0,190.0,6.6
Under way using engine,10.5,265.8,261.0,Cargo,12.0,81.0,4.8
Under way using engine,10.9,339.1,338.0,Tanker,44.0,250.0,14.3
Under way using engine,11.7,211.0,211.0,Cargo,28.0,177.0,9.8
Under way using engine,8.0,204.8,207.0,Cargo,17.0,119.0,5.1
Under way using engine,15.8,220.3,220.0,Cargo,36.0,200.0,8.8
Under way using engine,11.5,338.7,340.0,Cargo,22.0,140.0,6.1
Under way using engine,7.5,120.2,121.0,Tanker,32.0,183.0,7.2
Under way using engine,14.4,165.1,169.0,Cargo,22.0,135.0,7.2
Under way using engine,14.5,185.5,190.0,Cargo,36.0,200.0,9.2
Under way using engine,12.2,45.1,45.0,Tanker,24.0,150.0,10.1
Under way using engine,12.4,273.7,273.0,Military,9.0,43.0,2.5
Under way using engine,11.5,57.2,54.0,Cargo,23.0,134.0,8.6
Under way using engine,10.3,128.7,127.0,Cargo,17.0,140.0,3.4
Under way using engine,11.8,145.8,146.0,Tanker,26.0,167.0,6.4
Under way using engine,11.2,32.7,31.0,Cargo,28.0,190.0,10.5
Under way using engine,9.5,6.4,5.0,Cargo,13.0,88.0,4.5
Under way using engine,10.6,23.7,23.0,Cargo,32.0,193.0,12.7
Under way using engine,10.5,309.3,308.0,Cargo,12.0,74.0,3.3
Under way using engine,12.2,45.6,45.0,Tanker,24.0,150.0,10.1
Under way using engine,12.6,4.0,4.0,Tanker,15.0,84.0,5.6
Constrained by her draught,9.9,194.2,199.0,Cargo,32.0,229.0,12.5
Under way using engine,10.6,316.4,317.0,Cargo,14.0,90.0,6.3
Under way using engine,5.2,241.0,252.0,Tanker,17.0,119.0,5.2
Under way using engine,8.8,212.1,212.0,Cargo,10.0,78.0,4.4
Under way using engine,11.2,172.7,173.0,Passenger,8.0,34.0,2.8
Under way using engine,12.9,299.4,298.0,Tug,9.0,33.0,4.9
Under way using engine,15.9,35.8,28.0,Cargo,20.0,139.0,6.3
Under way using engine,9.6,121.2,121.0,Cargo,17.0,140.0,3.4
Under way using engine,8.9,164.0,162.0,Tanker,13.0,55.0,3.8
Under way using engine,11.7,209.0,209.0,Cargo,28.0,177.0,9.8
Under way using engine,10.6,314.2,317.0,Cargo,14.0,90.0,6.3
Under way using engine,9.6,189.8,188.0,Cargo,13.0,88.0,5.5
Under way using engine,9.2,340.1,341.0,Tug,12.0,34.0,4.9
Under way using engine,9.7,190.5,187.0,Cargo,13.0,88.0,5.5
Under way using engine,10.0,10.2,11.0,Cargo,16.0,102.0,3.5
Under way using engine,16.3,220.0,220.0,Cargo,36.0,200.0,8.8
Under way using engine,8.4,216.0,217.0,Tanker,17.0,119.0,5.2
Under way using engine,11.4,339.9,339.0,Tanker,16.0,104.0,6.2
Under way using engine,9.6,213.7,213.0,Cargo,13.0,90.0,4.7
Under way using engine,12.8,0.0,2.0,Tanker,15.0,84.0,5.6
Under way using engine,10.1,169.6,171.0,Law enforcement,12.0,49.0,4.0
Engaged in fishing,2.4,280.9,285.0,Fishing,5.0,18.0,25.5
Under way using engine,16.3,161.9,165.0,Tanker,22.0,155.0,6.4
Under way using engine,12.0,295.2,297.0,Tug,9.0,33.0,4.9
Under way using engine,13.5,191.5,190.0,Tanker,23.0,144.0,6.5
Under way using engine,11.9,231.4,230.0,Tanker,32.0,183.0,7.6
Under way using engine,11.4,55.8,54.0,Cargo,23.0,134.0,8.6
Under way using engine,12.9,5.1,7.0,Cargo,15.0,126.0,7.2
Under way using engine,10.2,289.5,287.0,Cargo,13.0,90.0,4.1
Under way using engine,10.4,193.3,200.0,Cargo,18.0,107.0,5.5
Under way using engine,8.7,212.1,212.0,Cargo,10.0,78.0,4.4
Under way using engine,11.5,346.0,343.0,Cargo,14.0,100.0,5.9
Under way using engine,14.9,46.0,48.0,Tanker,28.0,184.0,7.5
Under way using engine,9.2,144.3,150.0,Cargo,13.0,83.0,5.9
Under way using engine,11.8,231.7,230.0,Tanker,32.0,183.0,7.6
Under way using engine,13.0,138.7,141.0,Cargo,32.0,225.0,7.2
Under way using engine,11.5,347.4,343.0,Cargo,14.0,100.0,5.9
Under way using engine,8.1,316.8,314.0,Cargo,26.0,106.0,4.0
Under way using engine,10.4,137.0,139.0,Cargo,13.0,88.0,5.5
Under way using engine,12.2,342.3,342.0,Cargo,29.0,190.0,10.4
Under way using engine,15.4,45.0,48.0,Tanker,28.0,184.0,7.5
Under way using engine,11.9,24.9,24.0,Cargo,32.0,193.0,12.7
Constrained by her draught,10.8,293.2,294.0,Cargo,32.0,200.0,13.0
Under way using engine,10.2,169.2,171.0,Law enforcement,12.0,49.0,4.0
Constrained by her draught,9.7,212.2,211.0,Cargo,32.0,229.0,12.5
Under way using engine,11.5,55.0,54.0,Cargo,23.0,134.0,8.6
Under way using engine,15.1,162.9,166.0,Cargo,26.0,190.0,6.5
Constrained by her draught,12.4,340.4,340.0,Cargo,32.0,200.0,13.2
Under way using engine,13.6,143.0,147.0,Cargo,30.0,180.0,6.3
Under way using engine,11.8,160.0,162.0,Cargo,27.0,161.0,9.4
Under way using engine,12.9,5.2,9.0,Cargo,15.0,126.0,7.2
Under way using engine,9.3,3.5,2.0,Cargo,16.0,99.0,4.6
Under way using engine,8.9,116.9,117.0,Tanker,13.0,55.0,3.8
Under way using engine,9.3,174.2,172.0,Tug,7.0,21.0,3.3
Under way using engine,16.2,163.2,165.0,Tanker,22.0,155.0,6.4
Under way using engine,10.5,261.9,259.0,Cargo,12.0,81.0,4.8
Under way using engine,13.3,221.6,222.0,Cargo,32.0,229.0,9.5
Under way using engine,10.3,111.2,112.0,Tanker,15.0,116.0,5.1
Under way using engine,13.3,221.2,222.0,Cargo,32.0,229.0,9.5
Under way using engine,9.6,129.8,127.0,Tanker,27.0,184.0,7.0
Under way using engine,11.1,132.6,132.0,Cargo,32.0,225.0,7.1
Under way using engine,12.8,327.6,325.0,Tanker,27.0,184.0,10.8
Under way using engine,9.2,339.6,338.0,Tanker,14.0,90.0,6.3
Engaged in fishing,2.9,258.5,171.0,Fishing,5.0,15.0,3.0
Under way using engine,9.6,127.4,124.0,Tanker,27.0,184.0,7.0
Engaged in fishing,7.3,350.3,348.0,Fishing,6.0,17.0,3.0
Under way using engine,9.0,168.4,169.0,Cargo,12.0,80.0,4.8
Under way using engine,11.2,343.4,342.0,Tanker,44.0,250.0,14.3
Under way using engine,15.9,345.4,347.0,Cargo,20.0,139.0,6.3
Under way using engine,10.3,40.7,45.0,Cargo,16.0,102.0,3.5
Under way using engine,5.2,237.4,241.0,Military,9.0,43.0,2.5
Under way using engine,12.5,132.2,133.0,Tanker,32.0,183.0,7.2
Under way using engine,8.9,343.6,341.0,Tanker,22.0,147.0,9.1
Under way using engine,8.7,216.2,217.0,Cargo,13.0,88.0,5.1
Under way using engine,13.3,28.3,27.0,Cargo,29.0,190.0,6.6
Under way using engine,7.3,238.0,238.0,Cargo,12.0,74.0,3.3
Under way sailing,11.7,172.1,174.0,Fishing,15.0,49.0,7.0
Under way using engine,16.5,221.7,222.0,Cargo,36.0,200.0,8.8
Under way using engine,12.7,326.8,325.0,Tanker,27.0,184.0,10.8
Under way using engine,18.2,71.0,71.0,Passenger,33.0,183.0,6.0
Under way using engine,12.7,326.5,325.0,Tanker,27.0,184.0,10.8
Under way using engine,11.9,189.0,190.0,Cargo,26.0,176.0,10.5
Under way using engine,13.5,141.0,143.0,Cargo,30.0,180.0,6.3
Under way using engine,14.3,131.7,131.0,Cargo,22.0,135.0,7.2
Under way using engine,16.4,221.6,222.0,Cargo,36.0,200.0,8.8
Under way using engine,13.0,195.0,194.0,Cargo,31.0,191.0,8.2
Under way using engine,13.3,30.1,30.0,Cargo,29.0,190.0,6.6
Under way using engine,14.4,131.0,130.0,Cargo,22.0,135.0,7.2
Under way using engine,13.1,136.7,138.0,Cargo,32.0,225.0,7.2
Under way using engine,13.0,354.3,355.0,Cargo,22.0,140.0,6.1
Under way using engine,14.2,209.7,210.0,Cargo,36.0,200.0,9.2
Under way using engine,9.3,145.4,151.0,Cargo,13.0,83.0,5.9
Under way using engine,11.3,31.3,30.0,Cargo,28.0,190.0,10.5
Under way using engine,8.6,120.8,128.0,Cargo,24.0,152.0,7.6
Under way using engine,7.5,240.3,241.0,Cargo,17.0,119.0,5.1
Under way using engine,11.8,56.1,53.0,Cargo,23.0,134.0,8.6
Under way using engine,10.3,134.0,135.0,Cargo,17.0,140.0,3.4
Under way using engine,14.2,209.5,210.0,Cargo,36.0,200.0,9.2
Under way using engine,12.1,262.0,263.0,Tanker,17.0,119.0,5.2
Under way using engine,10.9,161.0,163.0,Tanker,32.0,183.0,8.1
Under way sailing,12.2,169.0,171.0,Fishing,15.0,49.0,7.0
Under way using engine,10.1,288.0,287.0,Cargo,13.0,90.0,4.1
Under way using engine,10.3,342.2,331.0,Cargo,14.0,90.0,5.6
Under way using engine,10.9,187.1,195.0,Tanker,26.0,167.0,6.4
Under way using engine,11.7,160.6,163.0,Cargo,27.0,161.0,9.4
Under way using engine,7.8,130.7,130.0,Cargo,12.0,76.0,3.6
Under way using engine,12.1,232.3,230.0,Tanker,32.0,183.0,7.6
Under way using engine,10.9,336.5,339.0,Tanker,16.0,104.0,6.2
Under way using engine,14.8,163.1,167.0,Cargo,26.0,190.0,6.5
Constrained by her draught,12.3,339.7,340.0,Cargo,32.0,200.0,13.2
Under way using engine,13.3,137.2,138.0,Cargo,32.0,225.0,7.2
Under way using engine,11.4,29.3,29.0,Tanker,24.0,150.0,10.1
Under way using engine,10.4,78.0,78.0,Cargo,13.0,88.0,5.5
Under way using engine,7.3,317.6,314.0,Cargo,26.0,106.0,4.0
Under way using engine,16.2,3.8,355.0,Cargo,20.0,139.0,6.3
Under way using engine,8.9,5.4,5.0,Cargo,12.0,73.0,4.8
Under way using engine,11.4,204.0,209.0,Cargo,28.0,177.0,9.8
Under way using engine,10.0,321.9,319.0,Cargo,14.0,90.0,5.6
Under way using engine,14.2,30.0,30.0,Tanker,28.0,184.0,7.5
Under way using engine,9.8,138.0,146.0,Cargo,24.0,152.0,7.6
Under way using engine,10.4,258.5,258.0,Cargo,12.0,81.0,4.8
Under way using engine,11.4,29.2,29.0,Tanker,24.0,150.0,10.1
Under way using engine,10.7,168.6,168.0,Tanker,23.0,144.0,6.5
Under way using engine,12.5,45.6,46.0,Cargo,32.0,193.0,12.7
Under way using engine,12.3,338.0,342.0,Tanker,15.0,84.0,5.6
Under way using engine,4.8,238.1,238.0,Military,6.0,22.0,2.5
Under way using engine,10.5,103.3,105.0,Tanker,15.0,116.0,5.1
Under way using engine,11.4,29.3,29.0,Cargo,28.0,190.0,10.5
Under way using engine,11.2,205.0,210.0,Cargo,28.0,177.0,9.8
Under way using engine,12.6,161.3,165.0,Cargo,32.0,225.0,7.1
Under way using engine,16.3,161.2,164.0,Tanker,22.0,155.0,6.4
Under way using engine,12.6,45.1,46.0,Cargo,32.0,193.0,12.7
Under way using engine,14.9,163.5,167.0,Cargo,26.0,190.0,6.5
Under way using engine,7.8,217.0,220.0,Cargo,13.0,88.0,5.1
Under way using engine,9.0,343.3,344.0,Cargo,13.0,88.0,4.5
Under way using engine,11.4,57.8,56.0,Military,6.0,22.0,2.5
Under way using engine,10.9,339.3,339.0,Tanker,16.0,104.0,6.2
Under way using engine,14.0,30.0,31.0,Tanker,28.0,184.0,7.5
Under way using engine,9.3,119.2,117.0,Tanker,13.0,55.0,3.8
Under way using engine,9.5,221.1,221.0,Cargo,13.0,90.0,4.7
Under way using engine,12.6,164.0,165.0,Cargo,32.0,225.0,7.1
Under way using engine,9.9,184.2,182.0,Cargo,13.0,88.0,5.5
Under way using engine,11.9,341.9,341.0,Cargo,29.0,190.0,10.4
Under way using engine,13.0,160.0,161.0,Tanker,32.0,183.0,8.1
Under way using engine,10.4,185.2,193.0,Tanker,32.0,183.0,7.2
Under way using engine,12.1,348.8,352.0,Cargo,15.0,126.0,7.2
Under way using engine,11.1,187.9,192.0,Cargo,18.0,107.0,5.5
Under way using engine,11.3,338.6,337.0,Cargo,14.0,100.0,5.9
Under way using engine,9.7,349.2,348.0,Tug,12.0,34.0,4.9
Under way using engine,15.7,335.9,338.0,Cargo,20.0,139.0,6.3
Under way using engine,14.4,132.9,133.0,Cargo,22.0,135.0,7.2
Under way using engine,9.6,220.7,221.0,Cargo,13.0,90.0,4.7
Constrained by her draught,9.9,229.5,234.0,Cargo,32.0,229.0,12.5
Under way using engine,12.0,342.8,341.0,Cargo,29.0,190.0,10.4
Constrained by her draught,12.0,337.9,338.0,Cargo,32.0,200.0,13.2
Under way using engine,10.3,134.2,134.0,Tanker,27.0,184.0,7.0
Under way using engine,13.6,189.9,190.0,Cargo,32.0,229.0,9.5
Under way using engine,10.5,204.6,209.0,Cargo,27.0,161.0,9.4
Under way using engine,13.7,142.0,143.0,Cargo,30.0,180.0,6.3
Under way using engine,11.8,310.0,309.0,Tanker,17.0,119.0,5.2
Constrained by her draught,9.9,229.1,228.0,Cargo,32.0,229.0,12.5
Under way using engine,13.9,138.0,143.0,Cargo,30.0,180.0,6.3
Under way using engine,16.7,187.6,189.0,Cargo,36.0,200.0,8.8
Under way using engine,16.0,162.0,164.0,Tanker,22.0,155.0,6.4
Under way using engine,12.4,246.0,245.0,Tanker,32.0,183.0,7.6
Under way using engine,10.3,292.0,289.0,Cargo,13.0,90.0,4.1
Under way using engine,7.6,238.5,239.0,Cargo,17.0,119.0,5.1
Under way using engine,10.6,50.0,51.0,Cargo,16.0,102.0,3.5
Under way using engine,7.3,314.2,314.0,Cargo,26.0,106.0,4.0
Under way using engine,10.3,292.3,289.0,Cargo,13.0,90.0,4.1
Under way using engine,15.0,5.5,7.0,Cargo,22.0,140.0,6.1
Under way using engine,19.6,48.6,46.0,Pilot,5.0,15.0,1.5
Under way using engine,10.5,209.8,213.0,Cargo,27.0,161.0,9.4
Under way using engine,10.0,172.5,171.0,Tug,7.0,21.0,3.3
Under way using engine,9.4,352.6,349.0,Cargo,16.0,99.0,4.6
Under way using engine,8.0,307.2,302.0,Cargo,12.0,74.0,3.3
Under way using engine,13.2,183.0,182.0,Cargo,31.0,191.0,8.2
Under way using engine,10.4,166.1,178.0,Cargo,17.0,140.0,3.4
Under way using engine,10.9,343.6,342.0,Tanker,44.0,250.0,14.3
Under way using engine,19.5,47.1,48.0,Pilot,5.0,15.0,1.5
Under way using engine,10.6,265.9,261.0,Cargo,12.0,81.0,4.8
Under way using engine,13.2,29.2,31.0,Cargo,29.0,190.0,6.6
Under way using engine,13.9,209.9,213.0,Cargo,36.0,200.0,9.2
Under way using engine,10.2,116.2,118.0,Cargo,13.0,88.0,5.5
Under way using engine,9.2,339.5,337.0,Tanker,14.0,90.0,6.3
Under way using engine,11.8,190.0,188.0,Cargo,26.0,176.0,10.5
Under way using engine,11.8,310.0,308.0,Tanker,17.0,119.0,5.2
Under way using engine,3.7,317.4,301.0,Cargo,15.0,105.0,6.7
Under way using engine,10.2,55.7,54.0,Cargo,16.0,128.0,3.3
Under way sailing,12.5,159.7,159.0,Fishing,15.0,49.0,7.0
Under way using engine,11.0,343.3,343.0,Tanker,44.0,250.0,14.3
Under way using engine,13.2,30.8,33.0,Cargo,29.0,190.0,6.6
Under way using engine,10.4,107.9,106.0,Tanker,15.0,116.0,5.1
Under way using engine,13.2,338.2,337.0,Tanker,27.0,184.0,10.8
Under way using engine,13.2,338.3,337.0,Tanker,27.0,184.0,10.8
Under way using engine,13.3,158.4,162.0,Cargo,32.0,225.0,7.2
Under way using engine,15.9,161.0,161.0,Tanker,32.0,183.0,8.1
Under way using engine,13.9,212.7,215.0,Cargo,36.0,200.0,9.2
Under way using engine,9.6,130.6,128.0,Cargo,13.0,83.0,5.9
Under way using engine,9.0,338.8,338.0,Tanker,14.0,90.0,6.3
Under way using engine,12.1,137.4,142.0,Law enforcement,12.0,49.0,4.0
Under way using engine,10.3,219.7,219.0,Tanker,26.0,167.0,6.4
Under way using engine,8.9,195.1,195.0,Cargo,12.0,80.0,4.8
Under way using engine,9.6,130.7,130.0,Cargo,13.0,83.0,5.9
Under way using engine,11.7,228.0,228.0,Cargo,28.0,177.0,9.8
Under way using engine,8.4,161.1,165.0,Cargo,12.0,76.0,3.6
Under way using engine,11.7,37.3,41.0,Cargo,28.0,190.0,10.5
Under way using engine,13.9,32.0,31.0,Tanker,28.0,184.0,7.5
Under way using engine,12.3,139.4,143.0,Law enforcement,12.0,49.0,4.0
Under way using engine,10.0,316.7,314.0,Cargo,14.0,90.0,5.6
Under way using engine,15.8,161.8,164.0,Tanker,22.0,155.0,6.4
Under way using engine,7.9,54.2,58.0,Cargo,16.0,117.0,4.7
Under way using engine,7.9,209.1,211.0,Cargo,17.0,119.0,5.1
Under way using engine,11.2,34.1,33.0,Tug,9.0,33.0,4.9
Under way using engine,8.5,341.1,339.0,Tanker,22.0,147.0,9.1
Under way using engine,12.6,350.0,352.0,Tanker,15.0,84.0,5.6
Under way using engine,8.8,165.0,165.0,Cargo,12.0,76.0,3.6
Under way using engine,9.2,113.0,113.0,Tanker,13.0,55.0,3.8
Under way using engine,14.8,163.7,168.0,Cargo,26.0,190.0,6.5
Under way using engine,12.6,171.3,184.0,Tanker,27.0,184.0,7.0
Under way using engine,8.4,341.8,340.0,Tanker,22.0,147.0,9.1
Under way using engine,7.1,240.6,240.0,Cargo,10.0,78.0,4.4
Under way using engine,10.0,57.8,56.0,Cargo,16.0,128.0,3.3
Under way using engine,12.4,246.2,245.0,Tanker,32.0,183.0,7.6
Under way using engine,15.7,345.8,346.0,Cargo,20.0,139.0,6.3
Under way using engine,11.6,30.8,32.0,Tanker,24.0,150.0,10.1
Under way using engine,10.1,55.4,54.0,Cargo,16.0,128.0,3.3
Under way using engine,11.1,190.6,192.0,Cargo,18.0,107.0,5.5
